tecdoc_ktypnr;tecdoc_constr;tecdoc_constrcode;tecdoc_model1;tecdoc_modelcode;tecdoc_cyl;tecdoc_litr;tecdoc_ccmtech;tecdoc_moisdseb;tecdoc_anneedeb;tecdoc_moisfin;tecdoc_anneefin;tecdoc_andeb;tecdoc_anfin;tecdoc_kw;tecdoc_cv;tecdoc_carross;tecdoc_propulsion;tecdoc_energie;tecdoc_codemoteur;tecdoc_nbcyl;tecdoc_nbsoup
1;OPEL;84;CORSA D;5598;1.4;1.4;1364;07;2006;-;-;07/2006;-;66;90;3/5 portes;Traction avant;Essence;Z 14 XEP;4;4
2;BMW;16;02;164;1502;1.6;1563;01;1975;07;1977;01/1975;07/1977;55;75;A trois volumes;Propulsion;Essence;M10 B16;4;2
3;RENAULT;93;MEGANE III Coupé;7867;2.0 TCe;2;1998;05;2009;-;-;05/2009;-;184;250;Coupé;Traction avant;Essence;F4R 874;4;4
4;BMW;16;02;164;1602;1.6;1563;04;1971;07;1975;04/1971;07/1975;63;85;A trois volumes;Propulsion;Essence;M10 B16;4;2
5;BMW;16;02;164;1802;1.8;1754;05;1971;07;1975;05/1971;07/1975;66;90;A trois volumes;Propulsion;Essence;M10 B18;4;2
6;BMW;16;02;164;2002;2;1977;02;1968;07;1975;02/1968;07/1975;74;100;A trois volumes;Propulsion;Essence;M10 B20;4;2
7;BMW;16;02 Décapotable;1608;2002;2;1977;05;1971;07;1975;05/1971;07/1975;74;100;Décapotable;Propulsion;Essence;M10 B20;4;2
8;BMW;16;02;164;2002 Tii;2;1977;05;1971;07;1975;05/1971;07/1975;96;130;A trois volumes;Propulsion;Essence;M10 B20;4;2
9;BMW;16;02;164;2002 Turbo;2;1977;01;1974;07;1975;01/1974;07/1975;125;170;A trois volumes;Propulsion;Essence;M10 B20 (22T A);4;2
10;BMW;16;1500-2000;187;2000;2;1977;09;1968;07;1972;09/1968;07/1972;74;100;A trois volumes;Propulsion;Essence;M10 B20;4;2
11;BMW;16;3;286;315;1.6;1563;03;1981;03;1984;03/1981;03/1984;55;75;A trois volumes;Propulsion;Essence;M10 B16 (164VB);4;2
12;BMW;16;3;286;316;1.6;1563;08;1975;08;1980;08/1975;08/1980;66;90;A trois volumes;Propulsion;Essence;M10 B16 (164VA);4;2
13;BMW;16;3;286;316;1.8;1754;09;1980;08;1982;09/1980;08/1982;66;90;A trois volumes;Propulsion;Essence;M10 B18 (184VC);4;2
14;BMW;16;3;286;318;1.8;1754;08;1975;08;1980;08/1975;08/1980;72;98;A trois volumes;Propulsion;Essence;M10 B18 (184VA);4;2
15;BMW;16;3;286;318 i;1.8;1754;11;1979;08;1982;11/1979;08/1982;77;105;A trois volumes;Propulsion;Essence;M10 B18 (184VA);4;2
16;BMW;16;3;286;320;2;1977;08;1975;08;1977;08/1975;08/1977;80;109;A trois volumes;Propulsion;Essence;M10 B20;4;2
17;BMW;16;3;286;320/6;2;1977;09;1977;08;1982;09/1977;08/1982;90;122;A trois volumes;Propulsion;Essence;M20 B20 (206VA);6;2
18;BMW;16;3;286;320 i;2;1977;06;1975;08;1982;06/1975;08/1982;92;125;A trois volumes;Propulsion;Essence;M10 B20;4;2
19;BMW;16;3;286;323 i;2.3;2291;01;1978;08;1982;01/1978;08/1982;105;143;A trois volumes;Propulsion;Essence;M20 B23 (236EA);6;2
20;BMW;16;3;290;316;1.8;1754;09;1983;12;1990;09/1983;12/1990;66;90;A trois volumes;Propulsion;Essence;M10 B18 (184VD);4;2
21;BMW;16;3;290;316 i;1.6;1585;09;1987;06;1991;09/1987;06/1991;73;100;A trois volumes;Propulsion;Essence;M40 B16 (164E1);4;2
22;BMW;16;3;290;318 i;1.8;1754;12;1984;08;1988;12/1984;08/1988;75;102;A trois volumes;Propulsion;Essence;M10 B18 (184KA);4;2
23;BMW;16;3;290;318 i;1.8;1754;09;1982;08;1987;09/1982;08/1987;77;105;A trois volumes;Propulsion;Essence;M10 B18 (184EA);4;2
24;BMW;16;3;290;318 i;1.8;1783;09;1987;06;1991;09/1987;06/1991;85;115;A trois volumes;Propulsion;Essence;M40 B18 (184E1);4;2
25;RENAULT;93;MEGANE CC;8578;1.6 16V;1.6;1598;06;2010;-;-;06/2010;-;81;110;Décapotable;Traction avant;Essence;K4M 858;4;4
26;SUZUKI;109;SWIFT IV;8994;1.2;1.2;1242;10;2010;-;-;10/2010;-;69;94;3/5 portes;Traction avant;Essence;K12B;4;4
27;BMW;16;3;290;318 i;1.8;1796;09;1987;06;1991;09/1987;06/1991;83;113;A trois volumes;Propulsion;Essence;M40 B18 (184E1);4;2
28;BMW;16;3;290;318 is;1.8;1783;09;1989;08;1991;09/1989;08/1991;100;136;A trois volumes;Propulsion;Essence;M42 B18 (184S1);4;4
29;BMW;16;3;290;320 i;2;1976;12;1985;06;1991;12/1985;06/1991;95;129;A trois volumes;Propulsion;Essence;M20 B20 (206KA);6;2
30;BMW;16;3;290;320 i;2;1977;09;1982;12;1991;09/1982;12/1991;92;125;A trois volumes;Propulsion;Essence;M20 B20 (206EB);6;2
31;BMW;16;3;290;M3 2.3;2.3;2266;07;1986;06;1991;07/1986;06/1991;143;195;A trois volumes;Propulsion;Essence;S14 B23 (234EA),S14 B23 (234S1),S14 B23 (234S2);4;4
32;BMW;16;3;290;M3 2.3;2.3;2266;02;1987;05;1989;02/1987;05/1989;147;200;A trois volumes;Propulsion;Essence;S14 B23 (234S2);4;4
33;BMW;16;3;290;323 i;2.3;2291;09;1982;08;1983;09/1982;08/1983;102;139;A trois volumes;Propulsion;Essence;M20 B23 (236EC);6;2
34;BMW;16;3;290;323 i;2.3;2291;09;1983;08;1986;09/1983;08/1986;110;150;A trois volumes;Propulsion;Essence;M20 B23 (236EC);6;2
35;BMW;16;3;290;M3 2.3;2.3;2266;07;1985;06;1991;07/1985;06/1991;158;215;A trois volumes;Propulsion;Essence;S14 B23 (234EA);4;4
36;BMW;16;3;290;325 i X;2.5;2476;12;1986;08;1991;12/1986;08/1991;125;170;A trois volumes;Traction intégrale;Essence;M20 B25 (256E1),M20 B25 (256E2),M20 B25 (256EX),M20 B25 (256K1);6;2
37;BMW;16;3;290;325 i;2.5;2476;12;1986;06;1991;12/1986;06/1991;125;170;A trois volumes;Propulsion;Essence;M20 B25 (256E1),M20 B25 (256E2),M20 B25 (256EX),M20 B25 (256K1);6;2
38;BMW;16;3;290;325 i X;2.5;2476;03;1986;12;1987;03/1986;12/1987;126;171;A trois volumes;Traction intégrale;Essence;M20 B25 (256E1),M20 B25 (256E2),M20 B25 (256EX),M20 B25 (256K1);6;2
39;BMW;16;3;290;325 i;2.5;2476;09;1983;11;1989;09/1983;11/1989;126;171;A trois volumes;Propulsion;Essence;M20 B25 (256E2);6;2
40;BMW;16;3;290;325 e 2.7;2.7;2674;10;1983;12;1988;10/1983;12/1988;90;122;A trois volumes;Propulsion;Essence;M20 B27 (276KA),M20 B27 (276KB);6;2
41;BMW;16;3;290;325 e 2.7;2.7;2674;01;1985;08;1987;01/1985;08/1987;95;129;A trois volumes;Propulsion;Essence;M20 B27 (276KB);6;2
42;BMW;16;3;290;324 d;2.4;2426;09;1985;08;1991;09/1985;08/1991;63;86;A trois volumes;Propulsion;Diesel;M21 D24 (246DA);6;2
